domain,bias
Salon.com,left
www.rollcall.com,center
rollcall.com,center
nymag.com,left
www.startribune.com,left leaning
m.startribune.com,left leaning
strib.mn,left leaning
video.startribune.com,left leaning
startribune.com,left leaning
www.commondreams.org,left
info.commondreams.org,left
commondreams.org,left
justthenews.com,right
secure.actblue.com,left
actblue.com,left
Secure.actblue.com,left
www.secure.actblue.com,left
ActBlue.com,left
SECURE.ACTBLUE.COM,left
people.com,left
en.people.cn,left
people.Black,left
PEOPLE.com,left
www.essence.com,left leaning
www.azcentral.com,left leaning
amp.azcentral.com,left leaning
rssfeeds.azcentral.com,left leaning
www.dallasnews.com,right leaning
interactives.dallasnews.com,right leaning
voterguide.dallasnews.com,right leaning
dallasnews.com,right leaning
nationalfile.com,right
www.wbur.org,left leaning
wbur.org,left leaning
wbur.fm,left leaning
amp.wbur.org,left leaning
www.thestate.com,left leaning
thestate.com,left leaning
amp.thestate.com,left leaning
account.thestate.com,left leaning
www.dailykos.com,left
m.dailykos.com,left
www.8newsnow.com,center
www.thecut.com,left
thecut.io,left
thecut.com,left
bossip.com,extreme bias right
mashable.com,left
sea.mashable.com,left
www.bizpacreview.com,right
www.factcheck.org,center
cdn.factcheck.org,center
FactCheck.org,center
FACTCHECK.COM,center
www.usnews.com,left leaning
money.usnews.com,left leaning
cars.usnews.com,left leaning
health.usnews.com,left leaning
occupydemocrats.com,extreme bias left
medium.com,left leaning
link.medium.com,left leaning
read.medium.com,left leaning
zora.medium.com,left leaning
gen.medium.com,left leaning
forge.medium.com,left leaning
milestaylor.medium.com,left leaning
andreasbackhausab.medium.com,left leaning
ericgeller.medium.com,left leaning
harrisonforsenate.medium.com,left leaning
nsl4b.medium.com,left leaning
marker.medium.com,left leaning
jonathanwilsonhartgrove.medium.com,left leaning
obama.medium.com,left leaning
heated.medium.com,left leaning
lessig.medium.com,left leaning
samuelsalzer.medium.com,left leaning
stonewall-78616.medium.com,left leaning
richardgreenethecivicsdean.medium.com,left leaning
hugh-w-forrest.medium.com,left leaning
humanparts.medium.com,left leaning
elemental.medium.com,left leaning
buexperts.medium.com,left leaning
jlsweetin82.medium.com,left leaning
nia-clark.medium.com,left leaning
ncarteron.medium.com,left leaning
makeroadaction.medium.com,left leaning
drjanaway.medium.com,left leaning
doloresquintana.medium.com,left leaning
independentthinkerelection.medium.com,left leaning
ronaldtownsend.medium.com,left leaning
jennycohn1.medium.com,left leaning
level.medium.com,left leaning
mtracey.medium.com,left leaning
ahiveco.medium.com,left leaning
instagram2income.medium.com,left leaning
smallbiz4biden.medium.com,left leaning
teamgideon.medium.com,left leaning
goodjasonhunting.medium.com,left leaning
hellodanya.medium.com,left leaning
cryptoemporiumeu.medium.com,left leaning
eddiekrassenstein.medium.com,left leaning
daniforcongress.medium.com,left leaning
capaction.medium.com,left leaning
dennispcrawford.medium.com,left leaning
drlauraaalbert.medium.com,left leaning
lparkerroerden.medium.com,left leaning
eaafolabi.medium.com,left leaning
dplymyer.medium.com,left leaning
coronavirus.medium.com,left leaning
chrissyteigen.medium.com,left leaning
david-baumwoll.medium.com,left leaning
davidrobbo.medium.com,left leaning
democracyawi.medium.com,left leaning
degiff.medium.com,left leaning
degenelection.medium.com,left leaning
judithvalente.medium.com,left leaning
kevinjshay44.medium.com,left leaning
johnflannery.medium.com,left leaning
jeffmelton.medium.com,left leaning
jmwaite.medium.com,left leaning
joannajweiss.medium.com,left leaning
futurehuman.medium.com,left leaning
flamingofinance.medium.com,left leaning
gwjordan.medium.com,left leaning
hayet-alem.medium.com,left leaning
gretathunberg.medium.com,left leaning
grantwyeth.medium.com,left leaning
bloggerzdigest.medium.com,left leaning
belladepaulo.medium.com,left leaning
bjornjohann.medium.com,left leaning
aclupa.medium.com,left leaning
abyasun.medium.com,left leaning
arckadl.medium.com,left leaning
arian-soro.medium.com,left leaning
ayavela.medium.com,left leaning
amnestyusa.medium.com,left leaning
thisissomenoise.medium.com,left leaning
urvijhaveris.medium.com,left leaning
upine.medium.com,left leaning
spikedolomite.medium.com,left leaning
sublevados.medium.com,left leaning
thejoebonilla.medium.com,left leaning
voteathome.medium.com,left leaning
writersmama.medium.com,left leaning
worksafeca.medium.com,left leaning
mikeselinker.medium.com,left leaning
mpowerchange.medium.com,left leaning
mrlichtenstein.medium.com,left leaning
monet-nft.medium.com,left leaning
morganshowenforohio.medium.com,left leaning
obrien-kat.medium.com,left leaning
lilygc.medium.com,left leaning
kriseman.medium.com,left leaning
memeticinfluence.medium.com,left leaning
lyssaking27.medium.com,left leaning
realheshmatalavi.medium.com,left leaning
savestandard.medium.com,left leaning
paulosenra.medium.com,left leaning
paolomossetti.medium.com,left leaning
pieterjfriedrich.medium.com,left leaning
pizza-live.medium.com,left leaning
onezero.medium.com,left leaning
priyanka-raha.medium.com,left leaning
progressivepolicyinstitute.medium.com,left leaning
playerscoalition.medium.com,left leaning
therightscoop.com,extreme bias right
www.deseret.com,right leaning
www.alternet.org,left
alternet.org,left
Alternet.org,left
www.cnet.com,center
cnet.co,center
www.publico.pt,left leaning
www.publico.es,left leaning
m.publico.es,left leaning
poweredxpeople.org,right
events.poweredxpeople.org,right
vote.poweredxpeople.org,right
www.poweredxpeople.org,right
Poweredxpeople.org,right
www.newyorker.com,left
newyorker.com,left
nyer.cm,left
video.newyorker.com,left
www.crainsdetroit.com,center
www.bnnbloomberg.ca,left leaning
secure.winred.com,right
tmagac.winred.com,right
winred.com,right
vote.winred.com,right
www.demconvention.com,left
demconvention.com,left
www.stories.demconvention.com,left
events.demconvention.com,left
stories.demconvention.com,left
transequality.org,left leaning
www.amazon.com,center
amazon.com,center
smile.amazon.com,center
amazon.ca,center
www.amazon.co.uk,center
music.amazon.com,center
www.amazon.in,center
aws.amazon.com,center
amazon.co.uk,center
www.amazon.co.jp,center
www.amazon.com.br,center
www.amazon.es,center
www.amazon.fr,center
www.amazon.jobs,center
music.amazon.com.au,center
read.amazon.in,center
Amazon.com,center
Amazon.ca,center
aws.Amazon.com,center
jwatch.us,extreme bias right
www.jwatch.org,extreme bias right
blogs.jwatch.org,extreme bias right
www.kansascity.com,left leaning
www.kansascity.edu,left leaning
totalnewsjp.com,right
www.citizensforethics.org,left leaning
thenationalpulse.com,extreme bias right
thedcpatriot.com,extreme bias right
TheDCPatriot.com,extreme bias right
thepostmillennial.com,right
www.thepostmillennial.com,right
amp.thepostmillennial.com,right
apple.news,left leaning
www.politicalflare.com,extreme bias left
www.inquirer.com,left leaning
fusion.inquirer.com,left leaning
inquirer.com,left leaning
www.westernjournal.com,extreme bias right
westernjournal.com,extreme bias right
theconservativetreehouse.com,extreme bias right
truepundit.com,extreme bias right
www.realclearpolitics.com,right leaning
realclearpolitics.com,right leaning
amgreatness.com,right
www.amgreatness.com,right
rfangle.com,extreme bias right
bluntforcetruth.com,extreme bias right
pjmedia.com,right
hillreporter.com,left
HillReporter.com,left
www.justsecurity.org,left
justsecurity.org,left
www.maxnewstoday.com,right
maxnewstoday.com,right
www.mediamatters.org,left
mediamatters.org,left
deadstate.org,left
thedailyedge.substack.com,right leaning
www.opindia.com,right
hindi.opindia.com,right
www.houstonchronicle.com,left leaning
HoustonChronicle.com,left leaning
trendingpolitics.com,right
zeenews.india.com,right leaning
summit.news,extreme bias right
www.lifesitenews.com,right
beckernews.com,extreme bias right
electionwiz.com,right leaning
www.infobae.com,left leaning
infobae.com,left leaning
Infobae.com,left leaning
elamerican.com,right leaning
news.gallup.com,center
on.gallup.com,center
www.newscorpse.com,left
www.scotsman.com,center
foodanddrink.scotsman.com,center
www.edinburghnews.scotsman.com,center
www.ocregister.com,right leaning
www.express.co.uk,right
Express.co.uk,right
americanindependent.com,left
shero.substack.com,left leaning
www.tampabay.com,left leaning
tampabay.com,left leaning
secondnexus.com,left
www.democracydocket.com,left
democracydocket.com,left
noqreport.com,extreme bias right
rantt.com,left
tv.libertaddigital.com,right leaning
esradio.libertaddigital.com,right leaning
tercalivre.com.br,right
www.tercalivre.com.br,right
www.dreuz.info,right
www.thetimes.co.uk,right leaning
thetimes.co.uk,right leaning
www.haaretz.com,left
Haaretz.com,left
popular.info,left
www.revolver.news,right
revolver.news,right
Revolver.news,right
www.statnews.com,right
statnews.com,right
www.nationalmemo.com,left
www.palmbeachpost.com,left leaning
palmbeachpost.com,left leaning
amp.palmbeachpost.com,left leaning
www.northjersey.com,left leaning
theweek.com,left
www.theweek.in,left
www.theweek.com,left
spectator.org,right
spectator.us,right
www.spectator.co.uk,right
www.spectator.com.au,right
