user_id,degree,community_id,weighted_degree,pagerank
15879633,2,6,2.0,0.0005864768918067068
569526862,14,6,14.0,0.0006537607407038989
212657985,2,5,2.0,0.0006234003618440494
90803598,6,7,6.0,0.001979006395579947
811514954159443968,3,7,3.0,0.0009627124037673966
2674458072,6,7,6.0,0.000526072741118353
21862217,15,7,15.0,0.000526072741118353
2833177377,6,6,6.0,0.0006635632091428663
626455898,3,6,3.0,0.000526072741118353
3296142256,5,6,5.0,0.0007900749168579678
78231411,14,6,14.0,0.0005998453529521134
297632458,2,5,2.0,0.0005593659095330311
2457340711,2,7,2.0,0.0005558943284578307
98992586,3,7,3.0,0.0005757753866841493
21612122,8,6,8.0,0.0008772137346160379
23834525,2,5,2.0,0.0005496160995442565
828073846011949056,10,6,10.0,0.0010630867179576913
761167885720956929,3,7,3.0,0.000526072741118353
2192887524,5,7,5.0,0.0008168332176782614
40907388,4,7,4.0,0.000526072741118353
21348880,2,0,2.0,0.000752230575041919
260423814,14,5,14.0,0.000668699880545502
39308549,1,0,1.0,0.000526072741118353
1182346921920348161,2,6,2.0,0.000526072741118353
63227112,4,5,4.0,0.000592181540515102
16497947,2,5,2.0,0.000526072741118353
818870559069048833,13,6,13.0,0.001324286291403944
896536097655853059,5,6,5.0,0.0008944816563821883
38979357,7,6,7.0,0.000526072741118353
798918201107251201,5,6,5.0,0.000526072741118353
17717593,1,6,1.0,0.000526072741118353
14529929,1,13,1.0,0.0006155375031367863
328756439,9,6,9.0,0.001958745604524258
242849343,14,6,14.0,0.000757357411487219
816652616625168388,3,0,3.0,0.000526072741118353
449018696,1,0,1.0,0.000526072741118353
21950364,6,6,6.0,0.000526072741118353
16721452,3,6,3.0,0.0007667425242659043
824320363257413633,8,6,8.0,0.0006502386644427942
17847906,1,6,1.0,0.0006399698343642118
398959876,14,6,14.0,0.0006919821899706944
457743272,9,6,9.0,0.0007859923543569714
226222147,19,6,19.0,0.000526072741118353
33913156,1,6,1.0,0.0005455516661629764
850543150909333505,3,7,3.0,0.0006389725781006717
851335608702189568,5,7,5.0,0.0016464689049185707
208828684,3,5,3.0,0.000648668698937995
351120282,2,14,2.0,0.000526072741118353
22799251,1,14,1.0,0.0007497346461644364
1099802447973773312,24,5,24.0,0.0009261052707170336
16076032,4,7,4.0,0.000526072741118353
766355890689675264,4,6,4.0,0.0006232307347436267
1067293117,2,7,2.0,0.000526072741118353
3257227629,2,7,2.0,0.000526072741118353
376453771,3,0,3.0,0.000526072741118353
142386580,3,7,3.0,0.0009398130816164439
2249531,2,6,2.0,0.0005982221772236848
204444440,4,0,4.0,0.000894012111874233
971796616213561344,1,0,1.0,0.0005567613063147451
86129724,2,13,2.0,0.000598083853090198
758729592672653312,1,0,1.0,0.0005289039044733667
106711386,1,14,1.0,0.0007497346461644364
1136709465082945538,1,0,1.0,0.000526072741118353
731649894805463040,6,0,6.0,0.000526072741118353
2852597261,2,0,2.0,0.0007430765771769758
23903580,11,7,11.0,0.0012328203069734641
16106584,2,4,2.0,0.0006006267094670474
96675300,2,6,2.0,0.0006910849724087939
27187343,3,7,3.0,0.0006958317050297631
30706364,2,7,2.0,0.000526072741118353
1137033067128926214,1,6,1.0,0.000526072741118353
830159625093783552,3,6,3.0,0.0009733965512105194
94076386,3,7,3.0,0.0005558943284578307
111216929,1,7,1.0,0.000526072741118353
170641465,4,7,4.0,0.0007367115908434353
2300480005,6,7,6.0,0.0006379036936413946
1062510213918449664,3,3,3.0,0.000581458404844396
24258355,2,7,2.0,0.0005720903827923518
818927131883356161,2,0,2.0,0.0005289039044733667
864663235923820545,4,5,4.0,0.000526072741118353
1148461061999194112,3,7,3.0,0.0005378374943603784
1026549584963747846,2,7,2.0,0.000526072741118353
734783792502575105,2,6,2.0,0.0007098477599185192
21908201,4,6,4.0,0.0007969758141433596
2861436041,5,6,5.0,0.000526072741118353
1184593454485200897,16,6,16.0,0.0009954306746726533
21001599,11,6,11.0,0.000526072741118353
3041768317,6,5,6.0,0.0005371193216831472
1654453249,2,6,2.0,0.0007483378422245563
47379354,4,6,4.0,0.0005486356029954825
16523905,2,0,2.0,0.0008633235466778408
14278608,3,5,3.0,0.0005779197000987456
44774107,1,0,1.0,0.000593968640479587
2199541,3,13,3.0,0.0005657790907149075
586749256,2,5,2.0,0.0006431687645023808
1121492192235806721,2,5,2.0,0.0005701275968948919
2805934129,1,5,1.0,0.0010108179033690532
14702822,1,5,1.0,0.000606425173909315
187429137,2,1,2.0,0.0005920734138972136
753623149929869312,5,7,5.0,0.0014916089207391617
24578794,3,6,3.0,0.000526072741118353
68672927,15,6,15.0,0.000765684975716068
2420848054,1,6,1.0,0.0005904471906462108
14820509,4,6,4.0,0.0007581747180529677
1073777869791191040,4,6,4.0,0.0007417889201263765
4476084275,13,6,13.0,0.0007195108317682903
755835576,1,6,1.0,0.0006325939604819288
20866038,2,6,2.0,0.000526072741118353
259863564,8,5,8.0,0.0008895733249124186
1101626341,7,5,7.0,0.0008896468421678576
1082197856,1,0,1.0,0.000526072741118353
14542977,2,5,2.0,0.000526072741118353
1042951616,12,6,12.0,0.0013250428249731896
101816065,1,5,1.0,0.000606425173909315
